index,name,details,size,address,available time,bed,bath,price,nearest MRT ID,distance
477,Coco Palms,Condominium,300 sqft ,31 Pasir Ris Grove, Ready to move,Studio,0,"S$ 1,600 /mo",EW1 Pasir Ris MRT Station,0.42 km
478,The Palette,Fully Furnished Condominium,506 sqft ,103 Pasir Ris Grove, Ready to move,1,1,"S$ 2,000 /mo",EW1 Pasir Ris MRT Station,0.53 km
479,417 Pasir Ris Drive 6,Fully Furnished HDB Apartment,250 sqft ,417 Pasir Ris Drive 6, Ready to move,Room,0,S$ 950 /mo,EW1 Pasir Ris MRT Station,0.63 km
480,559 Pasir Ris Street 51,Fully Furnished HDB Apartment,1119 sqft ,559 Pasir Ris Street 51, Ready to move,2,2,"S$ 1,800 /mo",EW1 Pasir Ris MRT Station,0.72 km
481,D'Nest,Condominium,753 sqft ,Pasir Ris Grove, Available from 1 Jun,2,2,"S$ 2,600 /mo",EW1 Pasir Ris MRT Station,0.53 km
482,Coco Palms,Condominium,750 sqft ,Pasir Ris Drive 1, Available from 1 Jun,2,1,"S$ 2,600 /mo",EW1 Pasir Ris MRT Station,0.42 km
483,D'Nest,Partially Furnished Condominium,936 sqft ,137 Pasir Ris Grove, Ready to move,3,2,"S$ 2,600 /mo",EW1 Pasir Ris MRT Station,0.53 km
484,D'Nest,Condominium,1098 sqft ,Pasir Ris Grove, Ready to move,3,2,"S$ 2,600 /mo",EW1 Pasir Ris MRT Station,0.53 km
485,Livia,Fully Furnished Condominium,1270 sqft ,71 Pasir Ris Grove, Ready to move,3,3,"S$ 2,650 /mo",EW1 Pasir Ris MRT Station,0.82 km
486,Coco Palms,Partially Furnished Condominium,250 sqft ,29 Pasir Ris Grove, Ready to move,1,1,"S$ 1,700 /mo",EW1 Pasir Ris MRT Station,0.42 km
487,NV Residences,Fully Furnished Condominium,797 sqft ,95 Pasir Ris Grove, Ready to move,2,2,"S$ 2,250 /mo",EW1 Pasir Ris MRT Station,0.54 km
488,NV Residences,Condominium,495 sqft ,87 Pasir Ris Grove, Ready to move,1,1,"S$ 1,699 /mo",EW1 Pasir Ris MRT Station,0.54 km
489,Eastvale,Fully Furnished Condominium,1098 sqft ,31 Pasir Ris Drive 3, Ready to move,Room,0,S$ 850 /mo,EW1 Pasir Ris MRT Station,0.48 km
490,Dnest,Fully Furnished Condominium,1200 sqft ,Dnest, Ready to move,3,2,"S$ 3,000 /mo",EW1 Pasir Ris MRT Station,0.57 km
491,Coco Palms,Condominium,150 sqft ,Pasir Ris Drive 1, S$ 6.67 psf,Room,0,"S$ 1,000 /mo",EW1 Pasir Ris MRT Station,0.42 km
492,Coco Palms,Partially Furnished Condominium,742 sqft ,Pasir Ris Drive 1, Ready to move,2,2,"S$ 2,300 /mo",EW1 Pasir Ris MRT Station,0.42 km
493,D'Nest,Partially Furnished Condominium,936 sqft ,135 Pasir Ris Grove, Ready to move,3,2,"S$ 2,500 /mo",EW1 Pasir Ris MRT Station,0.53 km
494,The Palette,Partially Furnished Condominium,1066 sqft ,103 Pasir Ris Grove, Ready to move,3,3,"S$ 2,400 /mo",EW1 Pasir Ris MRT Station,0.53 km
495,D'Nest,Condominium,936 sqft ,137 Pasir Ris Grove, Ready to move,3,2,"S$ 2,700 /mo",EW1 Pasir Ris MRT Station,0.53 km
496,524A Pasir Ris Street 51,Fully Furnished HDB Apartment,1119 sqft ,524A Pasir Ris Street 51, Available from 7 May,2,2,"S$ 2,400 /mo",EW1 Pasir Ris MRT Station,0.27 km
497,Coco Palms,Partially Furnished Condominium,743 sqft ,13 Pasir Ris Grove, Ready to move,2,2,"S$ 2,500 /mo",EW1 Pasir Ris MRT Station,0.42 km
498,Coco Palms,Partially Furnished Condominium,904 sqft ,29 Pasir Ris Grove, Ready to move,3,2,"S$ 2,700 /mo",EW1 Pasir Ris MRT Station,0.42 km
499,Coco Palms,Partially Furnished Condominium,463 sqft ,31 Pasir Ris Grove, Ready to move,1,1,"S$ 1,850 /mo",EW1 Pasir Ris MRT Station,0.42 km
500,Coco Palms,Partially Furnished Condominium,904 sqft ,Pasir Ris Drive 1, Ready to move,3,2,"S$ 2,800 /mo",EW1 Pasir Ris MRT Station,0.42 km
501,Le Loyang,Partially Furnished Apartment,2012 sqft ,43 Jalan Loyang Besar, Ready to move,4,3,"S$ 2,999 /mo",EW1 Pasir Ris MRT Station,0.97 km
502,D'Nest,Partially Furnished Condominium,753 sqft ,Pasir Ris Grove, Ready to move,2,2,"S$ 2,300 /mo",EW1 Pasir Ris MRT Station,0.53 km
503,D'Nest,Fully Furnished Condominium,936 sqft ,139 Pasir Ris Grove, S$ 1.71 psf,Room,0,"S$ 1,600 /mo",EW1 Pasir Ris MRT Station,0.53 km
504,The Palette,Fully Furnished Condominium,1001 sqft ,101 Pasir Ris Grove, Ready to move,2,2,"S$ 2,600 /mo",EW1 Pasir Ris MRT Station,0.53 km
505,Livia,Fully Furnished Condominium,1324 sqft ,69 Pasir Ris Grove, Ready to move,3,2,"S$ 2,800 /mo",EW1 Pasir Ris MRT Station,0.82 km
506,Coco Palms,Partially Furnished Condominium,743 sqft ,Pasir Ris Drive 1, Ready to move,2,2,"S$ 2,250 /mo",EW1 Pasir Ris MRT Station,0.42 km
507,Coco Palms,Partially Furnished Condominium,904 sqft ,33 Pasir Ris Grove, Ready to move,3,2,"S$ 2,600 /mo",EW1 Pasir Ris MRT Station,0.42 km
508,D'Nest,Partially Furnished Condominium,484 sqft ,Pasir Ris Grove, Ready to move,1,1,"S$ 2,000 /mo",EW1 Pasir Ris MRT Station,0.53 km
509,556 Pasir Ris Street 51,Partially Furnished HDB Apartment,300 sqft ,556 Pasir Ris Street 51, Ready to move,Room,0,"S$ 1,000 /mo",EW1 Pasir Ris MRT Station,0.63 km
510,417 Pasir Ris Drive 6,Fully Furnished HDB Apartment,1234 sqft ,417 Pasir Ris Drive 6, Ready to move,Room,0,S$ 600 /mo,EW1 Pasir Ris MRT Station,0.63 km
511,467 Pasir Ris Drive 6,Fully Furnished HDB Apartment,1200 sqft ,467 Pasir Ris Drive 6, Ready to move,Room,0,S$ 600 /mo,EW1 Pasir Ris MRT Station,0.78 km
512,122 Pasir Ris Street 11,Fully Furnished HDB Apartment,1300 sqft ,122 Pasir Ris Street 11, Ready to move,2,2,S$ 550 /mo,EW1 Pasir Ris MRT Station,0.86 km
513,467 Pasir Ris Drive 6,Fully Furnished HDB Apartment,1200 sqft ,467 Pasir Ris Drive 6, Ready to move,Room,0,S$ 450 /mo,EW1 Pasir Ris MRT Station,0.78 km
514,D'Nest,Partially Furnished Condominium,1270 sqft ,129 Pasir Ris Grove, Ready to move,3,2,"S$ 3,200 /mo",EW1 Pasir Ris MRT Station,0.53 km
515,467 Pasir Ris Drive 6,Fully Furnished HDB Apartment,200 sqft ,467 Pasir Ris Drive 6, Ready to move,3,2,S$ 600 /mo,EW1 Pasir Ris MRT Station,0.78 km
516,The Palette,Fully Furnished Condominium,885 sqft ,111 Pasir Ris Grove, Available from 30 Apr,3,2,"S$ 2,400 /mo",EW1 Pasir Ris MRT Station,0.53 km
517,515 Pasir Ris Street 52,Fully Furnished HDB Apartment,1130 sqft ,515 Pasir Ris Street 52, Ready to move,3,2,"S$ 2,200 /mo",EW1 Pasir Ris MRT Station,0.77 km
518,Coco Palms,Condominium,150 sqft ,Pasir Ris Drive 1, Ready to move,Room,0,"S$ 1,000 /mo",EW1 Pasir Ris MRT Station,0.42 km
519,D'Nest,Partially Furnished Condominium,1258 sqft ,Pasir Ris Grove, Ready to move,3,2,"S$ 3,300 /mo",EW1 Pasir Ris MRT Station,0.53 km
520,Blk 536 Pasir Ris Drive 1,Partially Furnished HDB Apartment,150 sqft ,Blk 536 Pasir Ris Drive 1, S$ 4.40 psf,Room,0,S$ 660 /mo,EW1 Pasir Ris MRT Station,0.20 km
521,573 Pasir Ris Street 53,Fully Furnished HDB Apartment,1184 sqft ,573 Pasir Ris Street 53, Ready to move,3,2,"S$ 2,400 /mo",EW1 Pasir Ris MRT Station,0.45 km
522,D'Nest,Fully Furnished Condominium,484 sqft ,129 Pasir Ris Grove, Ready to move,1,1,"S$ 1,900 /mo",EW1 Pasir Ris MRT Station,0.53 km
523,Coco Palms,Partially Furnished Condominium,463 sqft ,33 Pasir Ris Grove, Ready to move,1,1,"S$ 2,200 /mo",EW1 Pasir Ris MRT Station,0.42 km
524,D'Nest,Condominium,936 sqft ,(within 0.53 km), Ready to move,3,2,"S$ 2,700 /mo",EW1 Pasir Ris MRT Station,0.53 km
525,NV Residences,Fully Furnished Condominium,900 sqft ,95 Pasir Ris Grove, Ready to move,2,2,"S$ 2,200 /mo",EW1 Pasir Ris MRT Station,0.54 km
526,561 Pasir Ris Street 51,Fully Furnished HDB Apartment,150 sqft ,561 Pasir Ris Street 51, Ready to move,Room,0,S$ 600 /mo,EW1 Pasir Ris MRT Station,0.64 km
527,Livia,Fully Furnished Condominium,883 sqft ,81 Pasir Ris Grove, Ready to move,2,2,"S$ 2,200 /mo",EW1 Pasir Ris MRT Station,0.82 km
528,Coco Palms,Partially Furnished Condominium,250 sqft ,Pasir Ris Drive 1, Ready to move,Studio,0,"S$ 1,800 /mo",EW1 Pasir Ris MRT Station,0.42 km
529,Coco Palms,Partially Furnished Condominium,1250 sqft ,Pasir Ris Drive 1, Ready to move,3,3,"S$ 3,200 /mo",EW1 Pasir Ris MRT Station,0.42 km
530,Coco Palms,Fully Furnished Condominium,400 sqft ,29 Pasir Ris Grove, Ready to move,Studio,0,"S$ 1,500 /mo",EW1 Pasir Ris MRT Station,0.42 km
531,D'Elias,Partially Furnished Cluster House,4069 sqft ,29A Elias Road, Ready to move,5,5,"S$ 5,200 /mo",EW1 Pasir Ris MRT Station,0.98 km
532,Livia,Partially Furnished Condominium,1539 sqft ,65 Pasir Ris Grove, Ready to move,4,3,"S$ 3,600 /mo",EW1 Pasir Ris MRT Station,0.82 km
533,D'Nest,Condominium,80 sqft ,(within 0.53 km), S$ 10.62 psf,Room,0,S$ 850 /mo,EW1 Pasir Ris MRT Station,0.53 km
534,Elias Green,Fully Furnished Condominium,1528 sqft ,1 Elias Road, Ready to move,3,3,"S$ 2,500 /mo",EW1 Pasir Ris MRT Station,0.95 km
535,467 Pasir Ris Drive 6,Partially Furnished HDB Apartment,1300 sqft ,467 Pasir Ris Drive 6, Ready to move,4,2,"S$ 2,500 /mo",EW1 Pasir Ris MRT Station,0.78 km
536,NV Residences,Partially Furnished Condominium,1184 sqft ,83 Pasir Ris Grove, Ready to move,3,2,"S$ 2,400 /mo",EW1 Pasir Ris MRT Station,0.54 km
537,577 Pasir Ris Street 53,HDB Apartment,110 sqft ,577 Pasir Ris Street 53, Ready to move,Room,0,S$ 699 /mo,EW1 Pasir Ris MRT Station,0.32 km
538,NV Residences,Condominium,764 sqft ,89 Pasir Ris Grove, Ready to move,2,2,"S$ 2,200 /mo",EW1 Pasir Ris MRT Station,0.54 km
539,D'Nest,Partially Furnished Condominium,484 sqft ,Pasir Ris Grove, Ready to move,1,1,"S$ 1,750 /mo",EW1 Pasir Ris MRT Station,0.53 km
540,D'Nest,Partially Furnished Condominium,1130 sqft ,137 Pasir Ris Grove, Ready to move,3,3,"S$ 2,800 /mo",EW1 Pasir Ris MRT Station,0.53 km
541,Coco Palms,Partially Furnished Condominium,904 sqft ,Pasir Ris Drive 1, Ready to move,3,2,"S$ 2,900 /mo",EW1 Pasir Ris MRT Station,0.42 km
542,D'Nest,Fully Furnished Condominium,931 sqft ,Pasir Ris Grove, Ready to move,2,2,"S$ 2,500 /mo",EW1 Pasir Ris MRT Station,0.53 km
543,D'Nest,Partially Furnished Condominium,1624 sqft ,133 Pasir Ris Grove, Ready to move,4,3,"S$ 4,800 /mo",EW1 Pasir Ris MRT Station,0.53 km
544,124 Pasir Ris Street 11,Fully Furnished HDB Apartment,1367 sqft ,124 Pasir Ris Street 11, S$ 1.32 psf,3,2,"S$ 1,800 /mo",EW1 Pasir Ris MRT Station,0.92 km
545,D'Nest,Fully Furnished Condominium,484 sqft ,147 Pasir Ris Grove, Ready to move,1,1,"S$ 2,000 /mo",EW1 Pasir Ris MRT Station,0.53 km
546,D'Nest,Partially Furnished Condominium,1270 sqft ,147 Pasir Ris Grove, Ready to move,4,3,"S$ 3,500 /mo",EW1 Pasir Ris MRT Station,0.53 km
547,D'Nest,Fully Furnished Condominium,484 sqft ,135 Pasir Ris Grove, S$ 4.13 psf,1,1,"S$ 2,000 /mo",EW1 Pasir Ris MRT Station,0.53 km
548,The Palette,Fully Furnished Condominium,1163 sqft ,105 Pasir Ris Grove, Ready to move,3,3,"S$ 3,000 /mo",EW1 Pasir Ris MRT Station,0.53 km
549,D'Nest,Fully Furnished Condominium,753 sqft ,Pasir Ris Grove, Ready to move,2,2,"S$ 2,500 /mo",EW1 Pasir Ris MRT Station,0.53 km
550,Coco Palms,Partially Furnished Condominium,453 sqft ,Pasir Ris Drive 1, Ready to move,1,1,"S$ 1,800 /mo",EW1 Pasir Ris MRT Station,0.42 km
551,Coco Palms,Partially Furnished Condominium,743 sqft ,Pasir Ris Drive 1, Ready to move,2,2,"S$ 2,400 /mo",EW1 Pasir Ris MRT Station,0.42 km
552,Elias Green,Fully Furnished Condominium,1200 sqft ,(within 0.95 km), Ready to move,3,3,"S$ 2,800 /mo",EW1 Pasir Ris MRT Station,0.95 km
553,Elias Green,Fully Furnished Condominium,150 sqft ,1 Elias Road, Ready to move,Room,0,S$ 900 /mo,EW1 Pasir Ris MRT Station,0.95 km
554,Elias Green,Fully Furnished Condominium,320 sqft ,(within 0.95 km), Ready to move,Studio,0,"S$ 1,500 /mo",EW1 Pasir Ris MRT Station,0.95 km
555,Elias Green,Unfurnished Condominium,1507 sqft ,1 Elias Road, Available from 20 Apr,3,3,"S$ 2,500 /mo",EW1 Pasir Ris MRT Station,0.95 km
556,Coco Palms,Partially Furnished Condominium,1464 sqft ,Pasir Ris Drive 1, Ready to move,4,4,"S$ 4,800 /mo",EW1 Pasir Ris MRT Station,0.42 km
557,121 Pasir Ris Street 11,Partially Furnished HDB Apartment,100 sqft ,121 Pasir Ris Street 11, Ready to move,3,2,"S$ 2,099 /mo",EW1 Pasir Ris MRT Station,0.85 km
558,The Palette,Condominium,1156 sqft ,113 Pasir Ris Grove, Ready to move,4,3,"S$ 2,800 /mo",EW1 Pasir Ris MRT Station,0.53 km
559,Coco Palms,Partially Furnished Condominium,250 sqft ,Pasir Ris Drive 1, Ready to move,Studio,0,"S$ 1,800 /mo",EW1 Pasir Ris MRT Station,0.42 km
560,Coco Palms,Partially Furnished Condominium,1250 sqft ,Pasir Ris Drive 1, Ready to move,3,3,"S$ 3,200 /mo",EW1 Pasir Ris MRT Station,0.42 km
561,Coco Palms,Partially Furnished Condominium,1464 sqft ,Pasir Ris Drive 1, Ready to move,4,4,"S$ 4,800 /mo",EW1 Pasir Ris MRT Station,0.42 km
562,553 Pasir Ris Street 51,Partially Furnished HDB Apartment,100 sqft ,553 Pasir Ris Street 51, Ready to move,1,2,S$ 650 /mo,EW1 Pasir Ris MRT Station,0.61 km
563,The Palette,Condominium,1400 sqft ,103 Pasir Ris Grove, Ready to move,3,3,"S$ 3,600 /mo",EW1 Pasir Ris MRT Station,0.53 km
564,Coco Palms,Fully Furnished Condominium,463 sqft ,Pasir Ris Grove, Ready to move,1,1,"S$ 1,988 /mo",EW1 Pasir Ris MRT Station,0.38 km
565,426 Pasir Ris Drive 6,Fully Furnished HDB Apartment,904 sqft ,426 Pasir Ris Drive 6, Ready to move,Room,0,S$ 750 /mo,EW1 Pasir Ris MRT Station,0.72 km
566,518 Pasir Ris Street 52,HDB Apartment,200 sqft ,518 Pasir Ris Street 52, Ready to move,Room,0,S$ 700 /mo,EW1 Pasir Ris MRT Station,0.62 km
567,110 Pasir Ris Street 11,Partially Furnished HDB Apartment,100 sqft ,110 Pasir Ris Street 11, Ready to move,Room,0,S$ 700 /mo,EW1 Pasir Ris MRT Station,0.87 km
568,555 Pasir Ris Street 51,Fully Furnished HDB Apartment,150 sqft ,555 Pasir Ris Street 51, Ready to move,Room,0,S$ 600 /mo,EW1 Pasir Ris MRT Station,0.55 km
569,LIVIA,Partially Furnished Condominium,1270 sqft ,81 Pasir Ris grove #08-45, Ready to move,3,2,"S$ 3,000 /mo",EW1 Pasir Ris MRT Station,0.63 km
570,469 Pasir Ris Drive 6,Fully Furnished HDB Apartment,1321 sqft ,469 Pasir Ris Drive 6, Ready to move,3,2,"S$ 2,300 /mo",EW1 Pasir Ris MRT Station,0.87 km
571,Coco Palms,Fully Furnished Condominium,463 sqft ,Pasir Ris Drive 1, Ready to move,1,1,"S$ 1,850 /mo",EW1 Pasir Ris MRT Station,0.42 km
572,D'Nest,Partially Furnished Condominium,754 sqft ,Pasir Ris Grove, Ready to move,2,1,"S$ 2,400 /mo",EW1 Pasir Ris MRT Station,0.53 km
573,525C Pasir Ris Street 51,Fully Furnished HDB Apartment,150 sqft ,525C Pasir Ris Street 51, Ready to move,Room,0,S$ 550 /mo,EW1 Pasir Ris MRT Station,0.31 km
574,The Palette,Fully Furnished Condominium,1066 sqft ,113 Pasir Ris Grove, Available from 1 May,3,3,"S$ 2,650 /mo",EW1 Pasir Ris MRT Station,0.65 km
575,The Palette,Partially Furnished Condominium,893 sqft ,103 Pasir Ris Grove, Ready to move,2,2,"S$ 2,500 /mo",EW1 Pasir Ris MRT Station,0.53 km
576,NV Residences,Partially Furnished Condominium,904 sqft ,95 Pasir Ris Grove, Ready to move,2,2,"S$ 2,500 /mo",EW1 Pasir Ris MRT Station,0.54 km
577,NV Residences,Fully Furnished Condominium,1270 sqft ,89 Pasir Ris Grove, Ready to move,3,3,"S$ 3,000 /mo",EW1 Pasir Ris MRT Station,0.54 km
578,Elias Green,Fully Furnished Condominium,1550 sqft ,5 Elias Road, Ready to move,3,3,"S$ 2,500 /mo",EW1 Pasir Ris MRT Station,0.95 km
579,Coco Palms,Partially Furnished Condominium,753 sqft ,Pasir Ris Drive 1, Ready to move,2,2,"S$ 2,550 /mo",EW1 Pasir Ris MRT Station,0.42 km
580,495E Tampines Street 43,Fully Furnished HDB Apartment,1560 sqft ,495E Tampines Street 43, Ready to move,4,2,"S$ 2,400 /mo",EW1 Pasir Ris MRT Station,1.00 km
581,Elias Green,Fully Furnished Condominium,1550 sqft ,3 Elias Road, Ready to move,3,2,"S$ 2,600 /mo",EW1 Pasir Ris MRT Station,0.95 km
582,559 Pasir Ris Street 51,Fully Furnished HDB Apartment,108 sqft ,559 Pasir Ris Street 51, Ready to move,Room,0,S$ 630 /mo,EW1 Pasir Ris MRT Station,0.72 km
583,Coco Palms,Partially Furnished Condominium,915 sqft ,Pasir Ris Drive 1, Ready to move,3,2,"S$ 2,600 /mo",EW1 Pasir Ris MRT Station,0.42 km
584,Coco Palms,Partially Furnished Condominium,743 sqft ,Pasir Ris Drive 1, Ready to move,2,2,"S$ 2,200 /mo",EW1 Pasir Ris MRT Station,0.42 km
585,428 Pasir Ris Drive 6,Fully Furnished HDB Apartment,1280 sqft ,428 Pasir Ris Drive 6, Ready to move,2,2,"S$ 1,900 /mo",EW1 Pasir Ris MRT Station,0.82 km
586,D'Nest,Partially Furnished Condominium,484 sqft ,127 Pasir Ris Grove, Ready to move,1,1,"S$ 1,800 /mo",EW1 Pasir Ris MRT Station,0.53 km
587,418 Pasir Ris Drive 6,Fully Furnished HDB Apartment,1571 sqft ,418 Pasir Ris Drive 6, Ready to move,3,3,"S$ 3,000 /mo",EW1 Pasir Ris MRT Station,0.50 km
588,The Palette,Condominium,1163 sqft ,115 Pasir Ris Grove, Ready to move,3,3,"S$ 3,000 /mo",EW1 Pasir Ris MRT Station,0.53 km
589,D'Nest,Partially Furnished Condominium,775 sqft ,(within 0.53 km), Ready to move,2,2,"S$ 2,300 /mo",EW1 Pasir Ris MRT Station,0.53 km
590,559 Pasir Ris Street 51,Fully Furnished HDB Apartment,1119 sqft ,559 Pasir Ris Street 51, S$ 1.74 psf,3,2,"S$ 1,950 /mo",EW1 Pasir Ris MRT Station,0.72 km
591,Elias Green,Fully Furnished Condominium,1550 sqft ,1 Elias Road, Ready to move,3,3,"S$ 3,000 /mo",EW1 Pasir Ris MRT Station,0.95 km
592,406 Pasir Ris Drive 6,HDB Apartment,100 sqft ,406 Pasir Ris Drive 6, Ready to move,1,1,S$ 700 /mo,EW1 Pasir Ris MRT Station,0.64 km
593,614 Elias Road,Partially Furnished HDB Apartment,1442 sqft ,614 Elias Road, Ready to move,3,2,"S$ 2,300 /mo",EW1 Pasir Ris MRT Station,0.98 km
594,129 Pasir Ris Street 11,Fully Furnished HDB Apartment,1528 sqft ,129 Pasir Ris Street 11, Ready to move,3,2,"S$ 2,900 /mo",EW1 Pasir Ris MRT Station,0.93 km
595,Le Loyang,Condominium,1400 sqft ,43 Jalan Loyang Besar, Ready to move,3,3,"S$ 2,200 /mo",EW1 Pasir Ris MRT Station,0.97 km
596,Coco Palms,Condominium,743 sqft ,Pasir Ris Drive 1, Ready to move,2,1,"S$ 3,000 /mo",EW1 Pasir Ris MRT Station,0.42 km
597,532 Pasir Ris Drive 1,Partially Furnished HDB Apartment,1358 sqft ,532 Pasir Ris Drive 1, Available from 31 May,4,2,"S$ 2,600 /mo",EW1 Pasir Ris MRT Station,0.19 km
598,The Palette,Partially Furnished Condominium,1001 sqft ,103 Pasir Ris Grove, Ready to move,2,2,"S$ 2,600 /mo",EW1 Pasir Ris MRT Station,0.53 km
599,The Palette,Partially Furnished Condominium,1001 sqft ,103 Pasir Ris Grove, Ready to move,2,2,"S$ 2,300 /mo",EW1 Pasir Ris MRT Station,0.53 km
600,122 Pasir Ris Street 11,Fully Furnished HDB Apartment,100 sqft ,122 Pasir Ris Street 11, Ready to move,Room,0,S$ 600 /mo,EW1 Pasir Ris MRT Station,0.86 km
601,469 Pasir Ris Drive 6,Fully Furnished HDB Apartment,150 sqft ,469 Pasir Ris Drive 6, Ready to move,Room,0,S$ 900 /mo,EW1 Pasir Ris MRT Station,0.87 km
602,121 Pasir Ris Street 11,Fully Furnished HDB Apartment,1119 sqft ,121 Pasir Ris Street 11, Ready to move,3,2,"S$ 2,050 /mo",EW1 Pasir Ris MRT Station,0.85 km
603,530D Pasir Ris Drive 1,Fully Furnished HDB Apartment,150 sqft ,530D Pasir Ris Drive 1, Ready to move,Room,0,S$ 650 /mo,EW1 Pasir Ris MRT Station,0.12 km
604,NV Residences,Condominium,743 sqft ,83 Pasir Ris Grove, S$ 3.77 psf,2,2,"S$ 2,800 /mo",EW1 Pasir Ris MRT Station,0.54 km
605,Costa Ris,Fully Furnished HDB Apartment,1022 sqft ,528c Pasir Ris St 51, Ready to move,Room,0,S$ 600 /mo,EW1 Pasir Ris MRT Station,0.25 km
606,429 Pasir Ris Drive 6,Fully Furnished HDB Apartment,728 sqft ,429 Pasir Ris Drive 6, Ready to move,2,2,"S$ 1,600 /mo",EW1 Pasir Ris MRT Station,0.82 km
607,Coco Palms,Partially Furnished Condominium,462 sqft ,Pasir Ris Drive 1, Ready to move,1,1,"S$ 1,960 /mo",EW1 Pasir Ris MRT Station,0.42 km
608,NV Residences,Partially Furnished Condominium,1184 sqft ,99 Pasir Ris Grove, Ready to move,3,3,"S$ 2,700 /mo",EW1 Pasir Ris MRT Station,0.54 km
609,NV Residences,Fully Furnished Condominium,1087 sqft ,87 Pasir Ris Grove, Ready to move,3,2,"S$ 2,850 /mo",EW1 Pasir Ris MRT Station,0.54 km
610,NV Residences,Fully Furnished Condominium,904 sqft ,87 Pasir Ris Grove, Ready to move,2,2,"S$ 2,500 /mo",EW1 Pasir Ris MRT Station,0.54 km
611,NV Residences,Partially Furnished Condominium,1227 sqft ,87 Pasir Ris Grove, Ready to move,3,3,"S$ 3,668 /mo",EW1 Pasir Ris MRT Station,0.54 km
612,NV Residences,Partially Furnished Condominium,796 sqft ,87 Pasir Ris Grove, Ready to move,2,2,"S$ 2,288 /mo",EW1 Pasir Ris MRT Station,0.54 km
613,575 Pasir Ris Street 53,Fully Furnished HDB Apartment,100 sqft ,575 Pasir Ris Street 53, S$ 5.50 psf,Room,0,S$ 550 /mo,EW1 Pasir Ris MRT Station,0.40 km
614,Elias Green,Fully Furnished Condominium,1550 sqft ,1 Elias Road, Ready to move,3,2,"S$ 2,600 /mo",EW1 Pasir Ris MRT Station,0.95 km
615,The Palette,Unfurnished Condominium,743 sqft ,103 Pasir Ris Grove, Ready to move,2,2,"S$ 2,188 /mo",EW1 Pasir Ris MRT Station,0.53 km
616,D'Nest,Fully Furnished Condominium,754 sqft ,131 Pasir Ris Grove, Ready to move,2,2,"S$ 2,200 /mo",EW1 Pasir Ris MRT Station,0.53 km
617,Livia,Fully Furnished Condominium,1184 sqft ,75 Pasir Ris Grove, S$ 2.53 psf,3,3,"S$ 3,000 /mo",EW1 Pasir Ris MRT Station,0.82 km
618,D'Nest,Fully Furnished Condominium,484 sqft ,Pasir Ris Grove, Ready to move,1,1,"S$ 1,900 /mo",EW1 Pasir Ris MRT Station,0.53 km
619,429 Pasir Ris Drive 6,Fully Furnished HDB Apartment,50 sqft ,429 Pasir Ris Drive 6, Ready to move,Room,0,S$ 750 /mo,EW1 Pasir Ris MRT Station,0.82 km
620,D'Nest,Partially Furnished Condominium,968 sqft ,129 Pasir Ris Grove, Ready to move,3,2,"S$ 2,900 /mo",EW1 Pasir Ris MRT Station,0.53 km
621,NV Residences,Fully Furnished Condominium,743 sqft ,87 Pasir Ris Grove, S$ 3.10 psf,2,2,"S$ 2,300 /mo",EW1 Pasir Ris MRT Station,0.54 km
622,D'Nest,Fully Furnished Condominium,484 sqft ,Pasir Ris Grove, Ready to move,1,1,"S$ 1,999 /mo",EW1 Pasir Ris MRT Station,0.53 km
623,569 Pasir Ris Street 51,Fully Furnished HDB Apartment,1200 sqft ,569 Pasir Ris Street 51, S$ 1.67 psf,4,2,"S$ 2,000 /mo",EW1 Pasir Ris MRT Station,0.33 km
624,427 Pasir Ris Drive 6,Fully Furnished HDB Apartment,1100 sqft ,427 Pasir Ris Drive 6, S$ 1.91 psf,3,2,"S$ 2,100 /mo",EW1 Pasir Ris MRT Station,0.73 km
625,122 Pasir Ris Street 11,Fully Furnished HDB Apartment,200 sqft ,122 Pasir Ris Street 11, S$ 3.50 psf,Room,0,S$ 700 /mo,EW1 Pasir Ris MRT Station,0.86 km
626,Livia,Fully Furnished Condominium,915 sqft ,71 Pasir Ris Grove, S$ 2.73 psf,2,2,"S$ 2,500 /mo",EW1 Pasir Ris MRT Station,0.82 km
627,129 Pasir Ris Street 11,Fully Furnished HDB Apartment,200 sqft ,129 Pasir Ris Street 11, S$ 4.45 psf,Room,0,S$ 890 /mo,EW1 Pasir Ris MRT Station,0.93 km
628,Citylights,Partially Furnished Condominium,721 sqft ,80 Jellicoe Road, Ready to move,2,1,"S$ 3,500 /mo",EW10 Kallang MRT Station,0.94 km
629,Accord Apartments,Fully Furnished Apartment,150 sqft ,5 Lorong 15 Geylang, S$ 5.33 psf,Room,0,S$ 800 /mo,EW10 Kallang MRT Station,0.77 km
630,Kallang MRT 5 Lorong 15 Geylang,Fully Furnished Apartment,120 sqft ,5 Lorong 15 Geylang, S$ 6.50 psf,1,1,S$ 780 /mo,EW10 Kallang MRT Station,0.79 km
631,Citylights,Partially Furnished Condominium,732 sqft ,80 Jellicoe Road, Available from 1 May,2,1,"S$ 3,400 /mo",EW10 Kallang MRT Station,0.94 km
632,Wing Fong Mansions,Partially Furnished Apartment,1130 sqft ,12 Lorong 14 Geylang, S$ 2.21 psf,3,2,"S$ 2,500 /mo",EW10 Kallang MRT Station,0.87 km
