Byron Mullens,8.23,2009,671,.629,.638,.005,.495,.198,33,2,7.2,11.2,.638,7.2,11.1,.642,0.0,0.1,.000,3.1,5.5,.559,9.2,0.5,1.0,2.2,3.0,4.1,17.4
Taj Gibson,9.15,2009,1179,.621,.601,.000,.576,.260,35,35,6.4,10.7,.601,6.4,10.7,.601,0.0,0.0,,4.1,6.2,.659,10.7,1.5,1.2,3.4,2.4,3.5,17.0
DeMarre Carroll,,2009,1064,.591,.576,.100,.433,.271,38,38,9.2,16.6,.558,8.6,14.9,.579,0.6,1.7,.364,4.5,7.2,.634,10.3,3.1,2.2,0.9,2.1,3.2,23.6
Wayne Ellington,8.35,2009,1155,.604,.579,.458,.252,.189,38,37,7.4,15.4,.483,4.5,8.3,.539,2.9,7.1,.417,3.0,3.9,.777,6.4,3.5,1.2,0.2,2.1,2.0,20.8
Toney Douglas,,2009,1279,.581,.525,.412,.433,.196,35,35,7.5,16.8,.446,4.8,9.9,.489,2.7,6.9,.385,5.9,7.3,.810,4.3,3.2,2.0,0.5,2.7,2.4,23.5
John Wall,6.82,2010,1288,.562,.503,.260,.530,.196,37,37,6.3,13.6,.461,5.1,10.1,.509,1.1,3.5,.325,5.4,7.2,.754,4.9,7.5,2.0,0.6,4.6,2.2,19.1
Evan Turner,7.37,2010,1108,.581,.540,.120,.400,.247,31,31,8.6,16.5,.519,7.8,14.5,.540,0.7,2.0,.364,5.0,6.6,.754,10.3,6.7,1.9,1.0,4.9,3.1,22.8
Derrick Favors,9.02,2010,989,.621,.611,.003,.488,.195,36,35,7.2,11.9,.611,7.2,11.8,.613,0.0,0.0,.000,3.6,5.8,.629,12.3,1.5,1.3,3.0,3.6,3.8,18.1
Wesley Johnson,,2010,1224,.600,.564,.299,.352,.215,35,35,6.8,13.5,.502,5.1,9.4,.540,1.7,4.0,.415,3.7,4.7,.772,9.8,2.5,1.9,2.1,2.6,2.4,18.9
DeMarcus Cousins,6.82,2010,893,.579,.560,.016,.726,.290,38,37,9.2,16.5,.558,9.2,16.3,.565,0.0,0.3,.167,7.3,12.0,.604,16.8,1.7,1.7,3.0,3.5,5.5,25.8
Ekpe Udoh,,2010,1264,.535,.499,.067,.415,.192,36,36,6.0,12.3,.490,5.8,11.5,.505,0.2,0.8,.269,3.5,5.1,.685,11.1,3.1,0.9,4.2,2.8,2.8,15.8
Greg Monroe,9.55,2010,1164,.567,.534,.070,.543,.189,34,34,6.9,13.2,.525,6.7,12.3,.545,0.2,0.9,.259,4.7,7.2,.660,11.3,4.4,1.4,1.8,3.8,3.0,18.9
Al-Farouq Aminu,8.85,2010,970,.524,.471,.176,.532,.176,31,30,6.9,15.4,.447,6.1,12.7,.484,0.7,2.7,.273,5.7,8.2,.698,13.7,1.7,1.8,1.8,4.1,3.8,20.2
Gordon Hayward,5.08,2010,1239,.601,.527,.429,.579,.224,37,37,5.6,12.0,.464,4.1,6.9,.592,1.5,5.2,.294,5.8,7.0,.829,9.8,2.0,1.3,1.0,2.7,2.5,18.5
Paul George,1.31,2010,962,.572,.506,.460,.364,.173,29,29,6.4,15.1,.424,4.0,8.1,.485,2.5,6.9,.353,5.0,5.5,.909,8.7,3.7,2.7,1.0,3.9,3.5,20.2
Cole Aldrich,8.25,2010,963,.596,.562,.000,.600,.245,36,36,6.2,11.0,.562,6.2,11.0,.562,0.0,0.0,,4.5,6.6,.679,14.7,1.3,1.1,5.2,2.3,3.8,16.9
Xavier Henry,8.25,2010,990,.591,.555,.466,.325,.197,36,36,6.5,14.3,.458,3.8,7.6,.492,2.8,6.7,.418,3.6,4.6,.783,6.3,2.1,2.2,0.7,2.8,2.7,19.5
Ed Davis,9.83,2010,641,.607,.578,.000,.688,.194,23,23,6.9,12.0,.578,6.9,12.0,.578,0.0,0.0,,5.4,8.2,.659,13.7,1.4,0.6,4.0,2.9,2.6,19.3
Patrick Patterson,6.82,2010,1255,.624,.607,.184,.348,.223,38,38,6.9,11.9,.575,6.1,9.7,.626,0.8,2.2,.348,2.9,4.1,.692,9.0,1.1,0.9,1.6,1.3,1.9,17.3
Larry Sanders,0.64,2010,941,.563,.540,.044,.455,.228,35,32,8.3,15.6,.534,8.2,14.9,.547,0.2,0.7,.250,4.5,7.1,.641,13.6,1.4,1.1,3.8,2.5,4.4,21.4
Luke Babbitt,2.56,2010,1260,.614,.542,.201,.432,.213,34,34,8.0,15.9,.500,6.6,12.7,.521,1.3,3.2,.416,6.3,6.9,.917,9.6,2.3,1.1,0.9,2.6,2.8,23.6
Eric Bledsoe,6.82,2010,1122,.566,.540,.410,.394,.126,37,35,5.1,11.1,.462,3.4,6.6,.516,1.7,4.6,.383,2.9,4.4,.667,4.1,3.8,1.9,0.4,4.0,2.9,14.9
Avery Bradley,7.38,2010,1003,.496,.489,.304,.179,.127,34,32,6.3,14.7,.432,4.7,10.2,.457,1.7,4.5,.375,1.4,2.6,.545,3.9,2.8,1.8,0.7,2.1,3.2,15.8
James Anderson,6.97,2010,1124,.596,.532,.439,.522,.247,33,33,8.0,17.6,.457,5.4,9.9,.549,2.6,7.7,.341,7.4,9.2,.810,6.8,2.8,1.6,0.7,2.8,3.1,26.2
Craig Brackins,8.37,2010,1124,.498,.450,.190,.337,.143,32,32,6.8,16.3,.420,5.9,13.2,.446,1.0,3.1,.310,4.2,5.5,.760,9.7,2.5,0.9,1.4,2.4,2.3,18.8
Elliot Williams,,2010,1133,.599,.536,.423,.660,.197,34,34,6.3,13.7,.459,4.2,7.9,.527,2.1,5.8,.366,6.8,9.0,.758,4.8,4.5,1.6,0.1,3.5,2.4,21.5
Trevor Booker,7.90,2010,984,.549,.533,.094,.474,.223,32,32,7.6,14.7,.521,7.3,13.3,.547,0.4,1.4,.265,4.1,7.0,.591,10.9,3.3,1.7,1.8,2.5,2.6,19.8
Damion James,7.38,2010,1029,.578,.544,.224,.549,.252,34,34,8.2,16.3,.501,6.8,12.6,.535,1.4,3.7,.383,6.0,8.9,.674,13.6,1.3,2.2,1.6,2.7,3.9,23.8
