Scott Padgett,7.6,17.6,.013,.158,-3.8,0.5,-0.2,0.1,1999
Kenyon Martin,13.4,14.5,.044,.093,-0.7,0.9,0.8,1.8,2000
Stromile Swift,13.1,17.2,.069,.099,-1.5,-1.5,0.2,0.2,2000
Marcus Fizer,11.0,14.2,-0.022,.026,-7.2,-3.7,-2.1,-0.8,2000
Mike Miller,13.2,15.0,.106,.101,-0.4,0.2,1.0,1.2,2000
DerMarr Johnson,8.4,11.3,.000,.048,-3.3,-0.9,-0.4,0.5,2000
Chris Mihm,12.6,10.0,.053,.019,-5.0,-6.1,-0.9,-1.7,2000
Jamal Crawford,8.5,15.3,-0.043,.055,-6.3,-2.2,-1.1,0.0,2000
Joel Przybilla,5.9,10.2,.018,.079,-3.9,-1.3,-0.1,0.2,2000
Keyon Dooling,12.6,7.4,.056,-0.010,-3.4,-7.9,-0.4,-0.2,2000
Jerome Moiso,3.2,5.9,-0.096,-0.040,-11.9,-7.1,-0.3,-0.1,2000
Etan Thomas,15.7,15.8,.127,.125,-2.9,-5.6,-0.1,-0.5,2000
Courtney Alexander,11.6,6.8,.027,-0.013,-4.4,-6.6,-0.8,-0.5,2000
Mateen Cleaves,9.0,8.8,-0.006,-0.082,-5.2,-9.8,-1.0,-0.3,2000
Jason Collier,7.4,11.1,-0.001,.057,-8.0,-5.3,-0.3,-0.3,2000
Desmond Mason,10.5,13.4,.055,.093,-3.0,-1.6,-0.4,0.3,2000
Quentin Richardson,16.5,17.4,.106,.125,-0.3,1.4,0.6,1.8,2000
Jamaal Magloire,13.4,18.8,.114,.177,-2.8,-1.3,-0.2,0.3,2000
Speedy Claxton,12.6,15.9,.087,.125,-0.7,0.0,0.5,0.2,2000
Morris Peterson,14.1,15.3,.096,.119,-0.1,1.2,0.8,1.6,2000
Donnell Harvey,9.8,14.1,.039,.105,-5.2,-1.0,-0.1,0.2,2000
Mamadou N'Diaye,6.6,20.6,.083,.265,-13.6,-4.4,0.0,0.0,2000
Erick Barkley,10.3,9.8,-0.075,.044,-7.0,-3.3,0.0,-0.1,2000
Mark Madsen,9.2,12.7,.085,.142,-2.8,0.6,-0.1,0.4,2000
Jason Richardson,13.8,14.8,.052,.066,-0.5,-0.4,1.0,1.1,2001
Shane Battier,13.9,15.0,.074,.126,1.9,3.6,3.0,3.4,2001
Eddie Griffin,13.8,15.4,.061,.100,-2.0,0.4,0.0,1.1,2001
Rodney White,11.0,9.8,-0.056,-0.011,-6.6,-4.4,-0.2,-1.0,2001
Joe Johnson,11.8,12.0,.075,.094,-1.1,-1.3,0.4,0.2,2001
Kedrick Brown,11.9,8.8,.075,.037,-1.2,-4.4,0.1,-0.4,2001
Richard Jefferson,13.4,16.6,.117,.164,-0.4,1.9,0.8,2.9,2001
Troy Murphy,10.3,15.9,.046,.122,-4.1,-0.7,-0.8,0.8,2001
Steven Hunter,12.9,13.4,.094,.099,-4.9,-2.3,-0.4,0.0,2001
Kirk Haston,4.0,-9.1,-0.116,-0.307,-12.1,-15.4,-0.2,-0.2,2001
Michael Bradley,9.9,12.8,.053,.056,-5.5,-2.6,-0.1,-0.2,2001
Jason Collins,10.7,9.9,.104,.119,-0.9,-0.6,0.4,0.7,2001
Zach Randolph,16.9,19.9,.098,.177,-3.4,-1.1,-0.1,0.3,2001
Brendan Haywood,13.7,13.5,.116,.125,0.6,-0.1,0.8,0.9,2001
Joseph Forte,2.8,3.4,-0.144,-0.176,-9.9,-10.2,-0.1,-0.2,2001
Jeryl Sasser,7.0,8.3,-0.070,.036,-7.8,-2.7,-0.1,-0.2,2001
Brandon Armstrong,3.8,3.9,-0.054,-0.050,-8.7,-9.5,-0.3,-0.1,2001
Gerald Wallace,13.3,12.5,.071,.074,-2.6,-3.3,-0.1,-0.2,2001
Samuel Dalembert,13.2,16.1,.072,.151,-3.5,0.1,-0.1,1.2,2001
Jamaal Tinsley,13.4,13.4,.033,.079,-0.5,-0.3,0.9,1.0,2001
Mike Dunleavy,12.5,15.1,.055,.107,-1.3,1.8,0.2,2.2,2002
Drew Gooden,15.0,13.8,.043,.015,-3.3,-3.6,-0.6,-0.5,2002
Dajuan Wagner,10.9,8.6,.011,-0.008,-5.2,-5.7,-1.1,-0.7,2002
Chris Wilcox,12.5,15.3,.062,.094,-4.0,-2.1,-0.2,0.0,2002
Caron Butler,15.1,10.7,.086,.050,1.7,-2.1,2.7,-0.1,2002
Jared Jeffries,11.1,8.7,.049,.014,-2.4,-3.5,0.0,-0.7,2002
Melvin Ely,10.8,11.1,.048,.039,-4.4,-3.7,-0.5,-0.2,2002
Marcus Haislip,9.6,14.6,-0.003,.113,-7.2,-2.4,-0.6,0.0,2002
Fred Jones,5.5,11.8,.019,.126,-3.7,-0.1,0.0,0.7,2002
Juan Dixon,11.0,13.5,.005,.044,-4.7,-2.6,-0.4,-0.2,2002
Curtis Borchardt,7.9,9.4,.026,.046,-3.2,-2.2,-0.1,0.0,2002
Ryan Humphrey,4.1,2.9,-0.052,-0.071,-8.5,-9.1,-0.7,-0.6,2002
