1,Atrium Residences,Partially Furnished Apartment,1302 sqft ,7 Lorong 28 Geylang, Ready to move,3,3,"S$ 3,600 /mo",EW9 Aljunied MRT Station,0.53 km
2,Suites @ Sims,Fully Furnished Condominium,699 sqft ,468 Sims Ave, Ready to move,2,2,"S$ 2,400 /mo",EW9 Aljunied MRT Station,0.48 km
3,Rare Refurbished Conservation 1 Bedroom At Paya Lebar,Fully Furnished Condominium,570 sqft ,(within 0.97 km), S$ 5.79 psf,1,1,"S$ 3,300 /mo",EW9 Aljunied MRT Station,0.97 km
4,Yuen Sing Mansion,Partially Furnished Apartment,1075 sqft ,6A Lorong 13 Geylang, Ready to move,3,2,"S$ 2,600 /mo",EW9 Aljunied MRT Station,0.70 km
5,Sims Urban Oasis,Fully Furnished Condominium,700 sqft ,Sims Drive, Ready to move,2,1,"S$ 2,600 /mo",EW9 Aljunied MRT Station,0.32 km
6,Cassia View,Fully Furnished Condominium,90 sqft ,320 Guillemard Road, Ready to move,Room,0,S$ 960 /mo,EW9 Aljunied MRT Station,0.70 km
7,44 Sims Drive,Partially Furnished HDB Apartment,50 sqft ,44 Sims Drive, S$ 12.00 psf,Room,0,S$ 600 /mo,EW9 Aljunied MRT Station,0.65 km
8,D'Weave,Partially Furnished Condominium,420 sqft ,5 Lorong 39 Geylang, Ready to move,1,1,"S$ 1,900 /mo",EW9 Aljunied MRT Station,0.88 km
9,Smart Suites,Fully Furnished Condominium,936 sqft ,302 Sims Avenue, Ready to move,3,2,"S$ 2,800 /mo",EW9 Aljunied MRT Station,0.18 km
10,Guillemard Edge,Fully Furnished Condominium,549 sqft ,38 Lorong 30 Geylang, Ready to move,2,1,"S$ 2,400 /mo",EW9 Aljunied MRT Station,0.60 km
11,Wing Fong Court,Condominium,1030 sqft ,10 Lorong 14 Geylang, Ready to move,3,2,"S$ 2,500 /mo",EW9 Aljunied MRT Station,0.69 km
12,Central Grove,Fully Furnished Condominium,1205 sqft ,1 Geylang East Avenue 1, Ready to move,3,3,"S$ 3,400 /mo",EW9 Aljunied MRT Station,0.18 km
13,Rezi 26,Partially Furnished Condominium,431 sqft ,5 Lorong 26 Geylang, Ready to move,1,1,"S$ 1,800 /mo",EW9 Aljunied MRT Station,0.46 km
14,Nicole Green,Partially Furnished Apartment,1238 sqft ,68 Guillemard Road, Ready to move,3,3,"S$ 3,200 /mo",EW9 Aljunied MRT Station,0.87 km
15,102 Aljunied Crescent,Fully Furnished HDB Apartment,990 sqft ,102 Aljunied Crescent, S$ 2.63 psf,3,2,"S$ 2,600 /mo",EW9 Aljunied MRT Station,0.43 km
16,Sims Urban Oasis,Fully Furnished Condominium,250 sqft ,Sims Drive, Ready to move,1,1,"S$ 1,650 /mo",EW9 Aljunied MRT Station,0.32 km
17,Cosmo,Fully Furnished Condominium,710 sqft ,18 Guillemard Crescent, Ready to move,2,2,"S$ 2,900 /mo",EW9 Aljunied MRT Station,0.82 km
18,Centro Mansions,Fully Furnished Condominium,1119 sqft ,20 Lorong 32 Geylang, Available from 14 Apr,3,2,"S$ 2,950 /mo",EW9 Aljunied MRT Station,0.58 km
19,Sims Edge,Condominium,600 sqft ,1 Geylang East Avenue 2, Ready to move,2,1,"S$ 2,500 /mo",EW9 Aljunied MRT Station,0.56 km
0,Palm Lodge,Fully Furnished Condominium,300 sqft ,6 Lorong 37 Geylang, Ready to move,Studio,0,"S$ 1,450 /mo",EW9 Aljunied MRT Station,0.80 km
