1,Sims Edge,Fully Furnished Condominium,484 sqft ,1 Geylang East Avenue 2, Ready to move,2,1,"S$ 2,200 /mo",EW9 Aljunied MRT Station,0.56 km
2,Sims Urban Oasis,Partially Furnished Condominium,560 sqft ,10 Sims Drive, Ready to move,1,1,"S$ 2,200 /mo",EW9 Aljunied MRT Station,0.32 km
3,Sims Urban Oasis,Partially Furnished Condominium,560 sqft ,Sims Drive, Ready to move,1,1,"S$ 2,250 /mo",EW9 Aljunied MRT Station,0.32 km
4,Centra Loft,Fully Furnished Condominium,430 sqft ,3 Lorong 35 Geylang, Ready to move,1,1,"S$ 1,999 /mo",EW9 Aljunied MRT Station,0.67 km
5,Guillemard Edge,Fully Furnished Condominium,861 sqft ,38 Lorong 30 Geylang, Ready to move,1,1,"S$ 2,300 /mo",EW9 Aljunied MRT Station,0.60 km
6,Sims Edge,Fully Furnished Condominium,581 sqft ,1 Geylang East Avenue 2, Ready to move,2,1,"S$ 2,400 /mo",EW9 Aljunied MRT Station,0.56 km
7,Balmy Court,Fully Furnished Apartment,120 sqft ,6 Lorong 27A Geylang, Ready to move,Room,0,S$ 650 /mo,EW9 Aljunied MRT Station,0.34 km
8,D'Weave,Fully Furnished Condominium,549 sqft ,5 Lorong 39 Geylang, Ready to move,2,1,"S$ 2,399 /mo",EW9 Aljunied MRT Station,0.88 km
9,The Waterina,Fully Furnished Apartment,1356 sqft ,51 Lorong 40 Geylang, Available from 15 May,3,2,"S$ 3,600 /mo",EW9 Aljunied MRT Station,0.90 km
10,The Sunny Spring,Partially Furnished Apartment,1240 sqft ,50 Lorong 40 Geylang, Ready to move,3,2,"S$ 2,800 /mo",EW9 Aljunied MRT Station,0.85 km
11,Sims Urban Oasis,Condominium,484 sqft ,12 Sims Drive, Ready to move,Studio,0,"S$ 2,100 /mo",EW9 Aljunied MRT Station,0.32 km
12,Centra Loft,Fully Furnished Condominium,409 sqft ,3 Lorong 35 Geylang, Ready to move,1,1,"S$ 1,888 /mo",EW9 Aljunied MRT Station,0.67 km
