4,32 Jalan Bukit Ho Swee,Fully Furnished HDB Apartment,517 sqft ,32 Jalan Bukit Ho Swee, Ready to move,2,1,"S$ 2,000 /mo",EW17 Tiong Bahru MRT Station,0.22 km
5,Jervois Road,Partially Furnished Detached House,"10000 sqft, 15200 sqft (land) ",Jervois Road, Ready to move,6,6,"S$ 25,000 /mo",EW17 Tiong Bahru MRT Station,0.99 km
6,The Crest,Partially Furnished Condominium,1195 sqft ,101 Prince Charles Crescent, S$ 4.44 psf,3,3,"S$ 5,300 /mo",EW17 Tiong Bahru MRT Station,0.72 km
7,The Crest,Fully Furnished Condominium,646 sqft ,105 Prince Charles Crescent, Ready to move,1,1,"S$ 3,800 /mo",EW17 Tiong Bahru MRT Station,0.72 km
8,Alessandrea,Partially Furnished Apartment,1001 sqft ,31 Alexandra Road, Ready to move,3,2,"S$ 3,200 /mo",EW17 Tiong Bahru MRT Station,0.70 km
9,82 Tiong Poh Road,Fully Furnished Walk-up,1300 sqft ,82 Tiong Poh Road, S$ 2.62 psf,3,1,"S$ 3,400 /mo",EW17 Tiong Bahru MRT Station,0.79 km
10,The Crest,Partially Furnished Condominium,1916 sqft ,101 Prince Charles Crescent, Ready to move,5,4,"S$ 8,500 /mo",EW17 Tiong Bahru MRT Station,0.72 km
11,52 Havelock Road,Fully Furnished HDB Apartment,200 sqft ,52 Havelock Road, S$ 4.25 psf,1,1,S$ 850 /mo,EW17 Tiong Bahru MRT Station,0.40 km
12,RV Residences,Condominium,861 sqft ,467 River Valley Road, Ready to move,3,2,"S$ 5,200 /mo",EW17 Tiong Bahru MRT Station,0.95 km
13,132 Jalan Bukit Merah,Fully Furnished HDB Apartment,699 sqft ,132 Jalan Bukit Merah, Ready to move,2,1,"S$ 2,000 /mo",EW17 Tiong Bahru MRT Station,0.79 km
14,The Crest,Partially Furnished Condominium,800 sqft ,105 Prince Charles Crescent, Ready to move,2,1,"S$ 4,200 /mo",EW17 Tiong Bahru MRT Station,0.72 km
15,Central Green,Partially Furnished Condominium,1690 sqft ,1 Jalan Membina, Ready to move,4,3,"S$ 4,500 /mo",EW17 Tiong Bahru MRT Station,0.13 km
16,24 Beo Crescent,Fully Furnished HDB Apartment,400 sqft ,24 Beo Crescent, Ready to move,Room,0,S$ 750 /mo,EW17 Tiong Bahru MRT Station,0.32 km
17,RV Edge,Partially Furnished Condominium,420 sqft ,2 Shanghai Road, Ready to move,1,1,"S$ 2,450 /mo",EW17 Tiong Bahru MRT Station,0.99 km
18,4 Delta Avenue,Fully Furnished HDB Apartment,200 sqft ,4 Delta Avenue, Ready to move,Room,0,S$ 750 /mo,EW17 Tiong Bahru MRT Station,0.65 km
19,Nathan Residences,Condominium,941 sqft ,25 Nathan Road, Ready to move,2,2,"S$ 4,000 /mo",EW17 Tiong Bahru MRT Station,0.95 km
0,The Crest,Partially Furnished Condominium,618 sqft ,101 Prince Charles Crescent, S$ 5.66 psf,1,1,"S$ 3,500 /mo",EW17 Tiong Bahru MRT Station,0.72 km
1,10 Jalan Bukit Ho Swee,Fully Furnished HDB Apartment,150 sqft ,10 Jalan Bukit Ho Swee, Ready to move,Room,0,S$ 650 /mo,EW17 Tiong Bahru MRT Station,0.64 km
2,127A Kim Tian Road,Fully Furnished HDB Apartment,100 sqft ,127A Kim Tian Road, Ready to move,3,2,S$ 800 /mo,EW17 Tiong Bahru MRT Station,0.54 km
3,Meraprime,Fully Furnished Condominium,1098 sqft ,301 Jalan Bukit Ho Swee, Ready to move,3,3,"S$ 5,600 /mo",EW17 Tiong Bahru MRT Station,0.14 km
4,Emerald Park,Partially Furnished Condominium,1230 sqft ,2 Indus Road, Ready to move,3,2,"S$ 3,650 /mo",EW17 Tiong Bahru MRT Station,0.45 km
5,Emerald Park,Fully Furnished Condominium,1163 sqft ,2 Indus Road, Ready to move,Room,0,"S$ 1,350 /mo",EW17 Tiong Bahru MRT Station,0.45 km
6,New Condo For Rent In The Prime District,Fully Furnished Condominium,500 sqft ,(within 0.01 km), S$ 4.80 psf,1,1,"S$ 2,400 /mo",EW17 Tiong Bahru MRT Station,0.01 km
7,Valley Park,Partially Furnished Condominium,1216 sqft ,473 River Valley Road, S$ 3.12 psf,2,2,"S$ 3,800 /mo",EW17 Tiong Bahru MRT Station,0.87 km
8,Twin Regency,Fully Furnished Condominium,980 sqft ,26 Kim Tian Road, S$ 4.49 psf,2,2,"S$ 4,400 /mo",EW17 Tiong Bahru MRT Station,0.23 km
9,Zenith @ Zion,Partially Furnished Apartment,1130 sqft ,60 Zion Road, S$ 3.36 psf,3,2,"S$ 3,800 /mo",EW17 Tiong Bahru MRT Station,0.84 km
10,129 Bukit Merah View,Fully Furnished HDB Apartment,110 sqft ,129 Bukit Merah View, S$ 5.91 psf,Room,0,S$ 650 /mo,EW17 Tiong Bahru MRT Station,0.43 km
11,Nathan Residences,Partially Furnished Condominium,786 sqft ,23 Nathan Road, S$ 4.71 psf,2,2,"S$ 3,700 /mo",EW17 Tiong Bahru MRT Station,0.95 km
12,Emerald Park,Fully Furnished Condominium,1164 sqft ,2 Indus Road, S$ 3.26 psf,3,2,"S$ 3,800 /mo",EW17 Tiong Bahru MRT Station,0.45 km
13,Twin Regency,Fully Furnished Condominium,980 sqft ,26 Kim Tian Road, S$ 4.49 psf,2,2,"S$ 4,400 /mo",EW17 Tiong Bahru MRT Station,0.23 km
14,146 Jalan Bukit Merah,Fully Furnished HDB Apartment,100 sqft ,146 Jalan Bukit Merah, S$ 6.90 psf,Room,0,S$ 690 /mo,EW17 Tiong Bahru MRT Station,0.99 km
15,Jervois Mansions,Partially Furnished Condominium,2600 sqft ,18 Jervois Road, S$ 3.00 psf,3,2,"S$ 7,800 /mo",EW17 Tiong Bahru MRT Station,0.87 km
16,Central Green,Fully Furnished Condominium,1300 sqft ,1 Jalan Membina, S$ 3.31 psf,3,3,"S$ 4,300 /mo",EW17 Tiong Bahru MRT Station,0.13 km
17,118A Jalan Membina,Fully Furnished HDB Apartment,150 sqft ,118A Jalan Membina, S$ 4.67 psf,Room,0,S$ 700 /mo,EW17 Tiong Bahru MRT Station,0.52 km
18,One Jervois,Partially Furnished Condominium,1087 sqft ,7 Jervois Close, S$ 4.14 psf,2,2,"S$ 4,500 /mo",EW17 Tiong Bahru MRT Station,0.78 km
19,One Jervois,Partially Furnished Condominium,1087 sqft ,3C Jervois Close, S$ 3.68 psf,2,2,"S$ 4,000 /mo",EW17 Tiong Bahru MRT Station,0.78 km
