1,Lotus At Paya Lebar,Fully Furnished Condominium,1055 sqft ,11 Paya Lebar Road, Ready to move,2,2,"S$ 4,240 /mo",EW8 Paya Lebar MRT Station,0.20 km
2,Lotus At Paya Lebar,Fully Furnished Condominium,898 sqft ,11 Paya Lebar Road, Ready to move,2,2,"S$ 3,960 /mo",EW8 Paya Lebar MRT Station,0.20 km
3,Lotus At Paya Lebar,Partially Furnished Condominium,700 sqft ,11 Paya Lebar Road, Ready to move,1,1,"S$ 2,660 /mo",EW8 Paya Lebar MRT Station,0.20 km
4,Lotus At Paya Lebar,Fully Furnished Condominium,1001 sqft ,11 Paya Lebar Road, Ready to move,3,2,"S$ 4,050 /mo",EW8 Paya Lebar MRT Station,0.20 km
5,Lotus At Paya Lebar,Fully Furnished Condominium,1313 sqft ,11 Paya Lebar Road, Ready to move,4,2,"S$ 5,100 /mo",EW8 Paya Lebar MRT Station,0.20 km
6,Imperial Heights,Partially Furnished Apartment,489 sqft ,16 Ipoh Lane, Ready to move,1,2,"S$ 1,950 /mo",EW8 Paya Lebar MRT Station,0.79 km
7,Centra Loft,Fully Furnished Condominium,431 sqft ,3 Lorong 35 Geylang, Ready to move,Studio,0,"S$ 2,000 /mo",EW8 Paya Lebar MRT Station,0.66 km
8,Lotus At Paya Lebar,Partially Furnished Condominium,883 sqft ,11 Paya Lebar Road, Ready to move,2,1,"S$ 3,950 /mo",EW8 Paya Lebar MRT Station,0.20 km
9,Lotus At Paya Lebar,Fully Furnished Condominium,560 sqft ,11 Paya Lebar Road, Ready to move,1,1,"S$ 3,020 /mo",EW8 Paya Lebar MRT Station,0.20 km
10,85 Circuit Road,Fully Furnished HDB Apartment,678 sqft ,85 Circuit Road, S$ 2.36 psf,2,1,"S$ 1,600 /mo",EW8 Paya Lebar MRT Station,0.96 km
11,The Waterina,Partially Furnished Apartment,1044 sqft ,51 Lorong 40 Geylang, Ready to move,2,2,"S$ 3,200 /mo",EW8 Paya Lebar MRT Station,0.70 km
12,Katong Regency,Partially Furnished Condominium,958 sqft ,15 Tanjong Katong Road, Ready to move,2,2,"S$ 3,700 /mo",EW8 Paya Lebar MRT Station,0.37 km
13,Questa @ Dunman,Partially Furnished Condominium,807 sqft ,543 Dunman Road, S$ 3.72 psf,2,2,"S$ 3,000 /mo",EW8 Paya Lebar MRT Station,0.97 km
14,Katong Regency,Condominium,580 sqft ,13 Tanjong Katong Road, Ready to move,1,1,"S$ 2,750 /mo",EW8 Paya Lebar MRT Station,0.49 km
15,Katong Regency,Condominium,603 sqft ,13 Tanjong Katong Road, Ready to move,1,1,"S$ 2,650 /mo",EW8 Paya Lebar MRT Station,0.49 km
16,Modern Semi-Detached In Katong!,Partially Furnished Semi-Detached House,"3500 sqft, 8300 sqft (land) ",Thiam Siew Avenue, Ready to move,4,5,"S$ 12,000 /mo",EW8 Paya Lebar MRT Station,0.86 km
17,The Water Edge @ Geylang,Fully Furnished Condominium,388 sqft ,8 Lorong 38 Geylang, Ready to move,1,1,"S$ 2,000 /mo",EW8 Paya Lebar MRT Station,0.69 km
18,The Serenno,Partially Furnished Apartment,375 sqft ,103 Haig Road, S$ 4.27 psf,Studio,0,"S$ 1,600 /mo",EW8 Paya Lebar MRT Station,0.99 km
19,Paya Lebar Residences,Fully Furnished Apartment,300 sqft ,27 Paya Lebar Road, Ready to move,Room,0,"S$ 1,200 /mo",EW8 Paya Lebar MRT Station,0.21 km
0,11 Haig Road,Partially Furnished HDB Apartment,150 sqft ,11 Haig Road, Ready to move,Room,0,S$ 600 /mo,EW8 Paya Lebar MRT Station,0.51 km
1,53 Pipit Road,Fully Furnished HDB Apartment,1593 sqft ,53 Pipit Road, Ready to move,3,3,"S$ 3,400 /mo",EW8 Paya Lebar MRT Station,0.95 km
2,Imperial Heights,Fully Furnished Apartment,452 sqft ,16 Ipoh Lane, Ready to move,1,1,"S$ 2,200 /mo",EW8 Paya Lebar MRT Station,0.79 km
3,Katong Regency,Partially Furnished Condominium,840 sqft ,13 Tanjong Katong Road, S$ 3.45 psf,1,1,"S$ 2,900 /mo",EW8 Paya Lebar MRT Station,0.37 km
4,Blossom Mansions,Partially Furnished Condominium,1033 sqft ,5 Lorong 37 Geylang, Ready to move,2,2,"S$ 3,000 /mo",EW8 Paya Lebar MRT Station,0.52 km
5,Grandlink Square,Fully Furnished Condominium,1389 sqft ,511 Guillemard Road, Ready to move,3,2,"S$ 3,400 /mo",EW8 Paya Lebar MRT Station,0.49 km
6,38 I Suites,Fully Furnished Apartment,667 sqft ,38 Ipoh Lane, Ready to move,2,2,"S$ 3,200 /mo",EW8 Paya Lebar MRT Station,0.79 km
7,The Amarelle,Partially Furnished Apartment,571 sqft ,49 Lim Ah Woo Road, Available from 15 May,1,1,"S$ 2,300 /mo",EW8 Paya Lebar MRT Station,0.58 km
8,City Plaza,Fully Furnished Apartment,915 sqft ,810 Geylang Road, Ready to move,1,1,"S$ 2,400 /mo",EW8 Paya Lebar MRT Station,0.39 km
9,Rooms Rental At Haig Road,Fully Furnished Shophouse,150 sqft ,24 Haig Road, S$ 6.00 psf,Room,0,S$ 900 /mo,EW8 Paya Lebar MRT Station,0.60 km
10,Grandlink Square,Fully Furnished Condominium,1109 sqft ,511 Guillemard Road, Available from 31 May,3,2,"S$ 3,200 /mo",EW8 Paya Lebar MRT Station,0.49 km
