3,The Lakeshore,Fully Furnished Condominium,947 sqft ,29 Jurong West Street 41, Ready to move,2,2,"S$ 3,000 /mo",EW26 Lakeside MRT Station,0.21 km
4,Caspian,Fully Furnished Condominium,1216 sqft ,50 Lakeside Drive, Ready to move,3,3,"S$ 3,650 /mo",EW26 Lakeside MRT Station,0.18 km
5,Caspian,Fully Furnished Condominium,1142 sqft ,50 Lakeside Drive, Ready to move,3,2,"S$ 3,000 /mo",EW26 Lakeside MRT Station,0.18 km
6,"Blk 355, Kang Ching Road",HDB Apartment,1087 sqft ,355 Kang Ching, Ready to move,3,2,"S$ 2,200 /mo",EW26 Lakeside MRT Station,0.64 km
7,Parc Vista,Fully Furnished Condominium,1044 sqft ,450 Corporation Road, Ready to move,1,1,"S$ 2,800 /mo",EW26 Lakeside MRT Station,0.48 km
8,The Lakeshore,Fully Furnished Condominium,1184 sqft ,31 Jurong West Street 41, Ready to move,3,3,"S$ 3,000 /mo",EW26 Lakeside MRT Station,0.21 km
9,The Lakefront Residences,Partially Furnished Condominium,1066 sqft ,42 Lakeside Drive, Ready to move,3,2,"S$ 3,200 /mo",EW26 Lakeside MRT Station,0.18 km
10,Parc Vista,Fully Furnished Condominium,1066 sqft ,454 Corporation Road, Ready to move,2,2,"S$ 3,000 /mo",EW26 Lakeside MRT Station,0.48 km
11,437 Jurong West Avenue 1,Partially Furnished HDB Apartment,1433 sqft ,437 Jurong West Avenue 1, Ready to move,3,2,"S$ 2,300 /mo",EW26 Lakeside MRT Station,0.90 km
12,The Lakefront Residences,Fully Furnished Condominium,488 sqft ,48 Lakeside Drive, Ready to move,1,1,"S$ 2,200 /mo",EW26 Lakeside MRT Station,0.18 km
13,Lakeside Tower,Partially Furnished Apartment,1980 sqft ,9G Yuan Ching Road, Ready to move,2,2,"S$ 3,000 /mo",EW26 Lakeside MRT Station,0.90 km
14,466 Jurong West Street 41,Fully Furnished HDB Apartment,150 sqft ,466 Jurong West Street 41, Ready to move,Room,0,S$ 500 /mo,EW26 Lakeside MRT Station,0.64 km
15,Summerdale,Fully Furnished Condominium,160 sqft ,Boon Lay Drive, Ready to move,Room,0,"S$ 1,000 /mo",EW26 Lakeside MRT Station,0.99 km
16,534 Jurong West Street 52,Fully Furnished HDB Apartment,1119 sqft ,534 Jurong West Street 52, Available from 1 May,3,2,"S$ 2,200 /mo",EW26 Lakeside MRT Station,0.67 km
17,Caspian,Partially Furnished Condominium,872 sqft ,54 Lakeside Drive, Ready to move,2,2,"S$ 2,600 /mo",EW26 Lakeside MRT Station,0.18 km
18,483 Jurong West Street 41,Unfurnished HDB Apartment,990 sqft ,483 Jurong West Street 41, Ready to move,3,2,"S$ 2,300 /mo",EW26 Lakeside MRT Station,0.60 km
19,469 Jurong West Street 41,Fully Furnished HDB Apartment,1625 sqft ,469 Jurong West Street 41, Ready to move,4,2,"S$ 2,500 /mo",EW26 Lakeside MRT Station,0.46 km
0,Parc Vista,Fully Furnished Condominium,1259 sqft ,450 Corporation Road, Ready to move,3,3,"S$ 2,800 /mo",EW26 Lakeside MRT Station,0.48 km
1,The Lakeshore,Fully Furnished Condominium,1141 sqft ,33 Jurong West Street 41, Available from 1 May,3,3,"S$ 3,200 /mo",EW26 Lakeside MRT Station,0.21 km
