8,DUO Residences,Apartment,1528 sqft ,1 Fraser Street, Ready to move,3,3,"S$ 8,000 /mo",EW12 Bugis MRT Station,0.28 km
9,Mackenzie Regency,Fully Furnished Condominium,550 sqft ,33 Mackenzie Road, Ready to move,1,1,"S$ 2,700 /mo",EW12 Bugis MRT Station,0.85 km
10,DUO Residences,Partially Furnished Apartment,734 sqft ,1 Fraser Street, Ready to move,1,1,"S$ 4,500 /mo",EW12 Bugis MRT Station,0.28 km
11,Concourse Skyline,Partially Furnished Condominium,1141 sqft ,296 Beach Road, Ready to move,2,2,"S$ 5,000 /mo",EW12 Bugis MRT Station,0.65 km
12,DUO Residences,Partially Furnished Condominium,818 sqft ,1 Fraser Street, Ready to move,2,2,"S$ 5,000 /mo",EW12 Bugis MRT Station,0.28 km
13,Parc Sophia,Partially Furnished Apartment,474 sqft ,8 Adis Road, Ready to move,1,1,"S$ 2,400 /mo",EW12 Bugis MRT Station,0.96 km
14,9 Selegie Road,Partially Furnished HDB Apartment,603 sqft ,9 Selegie Road, Ready to move,2,1,"S$ 2,000 /mo",EW12 Bugis MRT Station,0.73 km
15,Parc Sophia,Partially Furnished Apartment,731 sqft ,8 Adis Road, Ready to move,2,1,"S$ 2,900 /mo",EW12 Bugis MRT Station,0.96 km
16,DUO Residences,Partially Furnished Apartment,667 sqft ,1 Fraser Street, Ready to move,1,1,"S$ 4,500 /mo",EW12 Bugis MRT Station,0.28 km
17,Concourse Skyline,Fully Furnished Condominium,818 sqft ,298 Beach Road, Ready to move,1,1,"S$ 4,200 /mo",EW12 Bugis MRT Station,0.65 km
18,The Bencoolen,Fully Furnished Apartment,900 sqft ,180 Bencoolen Street, Ready to move,2,2,"S$ 3,400 /mo",EW12 Bugis MRT Station,0.31 km
19,DUO Residences,Partially Furnished Apartment,839 sqft ,1 Fraser Street, Ready to move,2,2,"S$ 5,600 /mo",EW12 Bugis MRT Station,0.28 km
0,LIV On Sophia,Fully Furnished Apartment,400 sqft ,14 Adis Road, Ready to move,1,1,"S$ 2,400 /mo",EW12 Bugis MRT Station,0.87 km
1,Sophia Road,Fully Furnished Apartment,480 sqft ,1 Sophia Road, Ready to move,Studio,0,"S$ 2,400 /mo",EW12 Bugis MRT Station,0.78 km
2,DUO Residences,Apartment,732 sqft ,1 Fraser Street, Ready to move,1,1,"S$ 4,000 /mo",EW12 Bugis MRT Station,0.28 km
3,9 Selegie Road,Fully Furnished HDB Apartment,602 sqft ,9 Selegie Road, Ready to move,2,1,"S$ 2,300 /mo",EW12 Bugis MRT Station,0.73 km
