6,28 Hoy Fatt Road,Fully Furnished HDB Apartment,646 sqft ,28 Hoy Fatt Road, Ready to move,3,2,"S$ 1,800 /mo",EW18 Redhill MRT Station,0.86 km
7,The Crest,Partially Furnished Condominium,1658 sqft ,101 Prince Charles Crescent, Available from 30 Apr,4,3,"S$ 6,600 /mo",EW18 Redhill MRT Station,0.74 km
8,Alex Residences,Apartment,678 sqft ,Alexandra View, Ready to move,2,2,"S$ 4,000 /mo",EW18 Redhill MRT Station,0.06 km
9,Alex Residences,Apartment,926 sqft ,Alexandra View, Ready to move,3,2,"S$ 4,500 /mo",EW18 Redhill MRT Station,0.06 km
10,One Jervois,Partially Furnished Condominium,2900 sqft ,11A Jervois Close, Ready to move,4,3,"S$ 10,000 /mo",EW18 Redhill MRT Station,0.97 km
11,Alex Residences,Unfurnished Condominium,657 sqft ,28 Alexandra View, Ready to move,2,2,"S$ 3,300 /mo",EW18 Redhill MRT Station,0.11 km
12,Tanglin View,Partially Furnished Condominium,1152 sqft ,152 Prince Charles Crescent, Ready to move,3,3,"S$ 3,900 /mo",EW18 Redhill MRT Station,0.28 km
13,130 Clarence Lane,Fully Furnished HDB Apartment,1130 sqft ,130 Clarence Lane, Ready to move,3,2,"S$ 2,800 /mo",EW18 Redhill MRT Station,0.40 km
14,The Metropolitan Condominium,Fully Furnished Condominium,786 sqft ,6 Alexandra View, Ready to move,2,1,"S$ 3,300 /mo",EW18 Redhill MRT Station,0.12 km
15,Alex Residences,Partially Furnished Apartment,657 sqft ,Alexandra View, Ready to move,2,2,"S$ 3,300 /mo",EW18 Redhill MRT Station,0.06 km
16,The Metropolitan Condominium,Fully Furnished Condominium,1065 sqft ,6 Alexandra View, Ready to move,2,2,"S$ 4,400 /mo",EW18 Redhill MRT Station,0.12 km
17,Echelon,Partially Furnished Condominium,1001 sqft ,9 Alexandra View, Available from 6 May,3,3,"S$ 4,300 /mo",EW18 Redhill MRT Station,0.20 km
18,56 Strathmore Avenue,Fully Furnished HDB Apartment,1130 sqft ,56 Strathmore Avenue, Available from 1 May,3,2,"S$ 3,200 /mo",EW18 Redhill MRT Station,0.87 km
19,59 Strathmore Avenue,Fully Furnished HDB Apartment,1184 sqft ,59 Strathmore Avenue, Ready to move,3,2,"S$ 2,799 /mo",EW18 Redhill MRT Station,0.74 km
0,Alex Residences,Apartment,678 sqft ,Alexandra View, Ready to move,2,2,"S$ 3,700 /mo",EW18 Redhill MRT Station,0.06 km
1,Ascentia Sky,Partially Furnished Apartment,949 sqft ,1 Alexandra View, Ready to move,2,2,"S$ 4,500 /mo",EW18 Redhill MRT Station,0.23 km
2,Alex Residences,Partially Furnished Apartment,473 sqft ,Alexandra View, Ready to move,1,1,"S$ 2,500 /mo",EW18 Redhill MRT Station,0.06 km
3,Jervois Mansions,Partially Furnished Condominium,3000 sqft ,18 Jervois Road, Ready to move,3,3,"S$ 8,900 /mo",EW18 Redhill MRT Station,0.95 km
4,58 Strathmore Avenue,Fully Furnished HDB Apartment,1184 sqft ,58 Strathmore Avenue, Available from 22 May,3,2,"S$ 3,000 /mo",EW18 Redhill MRT Station,0.78 km
5,8 Jalan Rumah Tinggi,Partially Furnished HDB Apartment,1119 sqft ,8 Jalan Rumah Tinggi, Available from 15 Jun,2,2,"S$ 2,250 /mo",EW18 Redhill MRT Station,0.98 km
6,Alex Residences,Partially Furnished Apartment,926 sqft ,28 Alexandra View, Ready to move,3,2,"S$ 4,200 /mo",EW18 Redhill MRT Station,0.11 km
7,Tanglin View,Partially Furnished Condominium,1152 sqft ,152 Prince Charles Crescent, Ready to move,3,3,"S$ 4,000 /mo",EW18 Redhill MRT Station,0.28 km
8,Alex Residences,Fully Furnished Condominium,474 sqft ,28 Alexandra View, Ready to move,1,1,"S$ 2,800 /mo",EW18 Redhill MRT Station,0.11 km
9,Alex Residences,Fully Furnished Condominium,657 sqft ,28 Alexandra View, Ready to move,2,2,"S$ 3,200 /mo",EW18 Redhill MRT Station,0.11 km
10,The Metropolitan Condominium,Condominium,200 sqft ,8 Alexandra View, Ready to move,1,1,"S$ 1,900 /mo",EW18 Redhill MRT Station,0.12 km
11,One Jervois,Partially Furnished Condominium,1841 sqft ,7 Jervois Close, Ready to move,4,4,"S$ 6,500 /mo",EW18 Redhill MRT Station,0.97 km
12,The Metropolitan Condominium,Fully Furnished Condominium,1033 sqft ,6 Alexandra View, Ready to move,2,2,"S$ 4,000 /mo",EW18 Redhill MRT Station,0.12 km
13,The Crest,Fully Furnished Condominium,797 sqft ,101 Prince Charles Crescent, Ready to move,2,2,"S$ 4,150 /mo",EW18 Redhill MRT Station,0.74 km
14,The Crest,Fully Furnished Condominium,1647 sqft ,101 Prince Charles Crescent, Ready to move,4,4,"S$ 7,300 /mo",EW18 Redhill MRT Station,0.74 km
15,Alex Residences,Partially Furnished Apartment,657 sqft ,Alexandra View, S$ 5.02 psf,2,2,"S$ 3,300 /mo",EW18 Redhill MRT Station,0.06 km
16,Alex Residences,Condominium,904 sqft ,28 Alexandra View, Ready to move,3,2,"S$ 4,200 /mo",EW18 Redhill MRT Station,0.11 km
17,Tanglin Regency,Fully Furnished Condominium,710 sqft ,381 Tanglin Road, Available from 31 May,2,2,"S$ 3,000 /mo",EW18 Redhill MRT Station,0.25 km
18,Alex Residences,Apartment,474 sqft ,28 Alexandra View, Ready to move,1,1,"S$ 2,800 /mo",EW18 Redhill MRT Station,0.11 km
19,Tanglin Regency,Fully Furnished Condominium,850 sqft ,381 Tanglin Road, Available from 1 May,2,2,"S$ 3,100 /mo",EW18 Redhill MRT Station,0.25 km
0,Dormer Park,Partially Furnished Condominium,1238 sqft ,53 Jervois Road, Available from 1 May,3,3,"S$ 3,800 /mo",EW18 Redhill MRT Station,0.75 km
1,Alex Residences,Fully Furnished Apartment,657 sqft ,(within 0.06 km), Ready to move,2,2,"S$ 3,400 /mo",EW18 Redhill MRT Station,0.06 km
2,Alex Residences,Partially Furnished Apartment,474 sqft ,(within 0.06 km), Ready to move,1,1,"S$ 2,600 /mo",EW18 Redhill MRT Station,0.06 km
3,Alex Residences,Partially Furnished Apartment,1023 sqft ,(within 0.06 km), Ready to move,3,3,"S$ 4,350 /mo",EW18 Redhill MRT Station,0.06 km
4,Alex Residences,Apartment,506 sqft ,(within 0.06 km), Ready to move,1,1,"S$ 2,650 /mo",EW18 Redhill MRT Station,0.06 km
5,106 Henderson Crescent,Fully Furnished HDB Apartment,1056 sqft ,106 Henderson Crescent, Ready to move,4,1,"S$ 2,600 /mo",EW18 Redhill MRT Station,0.61 km
6,Alex Residences,Partially Furnished Apartment,506 sqft ,Alexandra View, Ready to move,1,1,"S$ 2,600 /mo",EW18 Redhill MRT Station,0.06 km
